## file created 24.Feb.2016 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 4310280F   0   5   t    2       6          7              0      HB   -10    15      1
 4310180F   0   5   t    2       6          7              1      HB    -6    15      1
 4310080F   0   5   t    2       6          7              2      HB    -2    15      1
 4310200F   0   5   t    2       6          8              0      HB    -8    15      1
 4310100F   0   5   t    2       6          8              1      HB    -4    15      1
 4310300F   0   5   t    2       6          8              2      HB   -12    15      1
 43102C12   0   5   b    2       7          1              0      HB   -11    18      1
 43101C12   0   5   b    2       7          1              1      HB    -7    18      1
 43100C12   0   5   b    2       7          1              2      HB    -3    18      1
 43101412   0   5   b    2       7          2              0      HB    -5    18      1
 43100412   0   5   b    2       7          2              1      HB    -1    18      1
 43102412   0   5   b    2       7          2              2      HB    -9    18      1
 43102C11   0   5   b    2       7          3              0      HB   -11    17      1
 43101C11   0   5   b    2       7          3              1      HB    -7    17      1
 43100C11   0   5   b    2       7          3              2      HB    -3    17      1
 43101411   0   5   b    2       7          4              0      HB    -5    17      1
 43100411   0   5   b    2       7          4              1      HB    -1    17      1
 43102411   0   5   b    2       7          4              2      HB    -9    17      1
 43102812   0   5   b    2       7          5              0      HB   -10    18      1
 43101812   0   5   b    2       7          5              1      HB    -6    18      1
 43100812   0   5   b    2       7          5              2      HB    -2    18      1
 43102012   0   5   b    2       7          6              0      HB    -8    18      1
 43101012   0   5   b    2       7          6              1      HB    -4    18      1
 43103012   0   5   b    2       7          6              2      HB   -12    18      1
 43102811   0   5   b    2       7          7              0      HB   -10    17      1
 43101811   0   5   b    2       7          7              1      HB    -6    17      1
 43100811   0   5   b    2       7          7              2      HB    -2    17      1
 43102011   0   5   b    2       7          8              0      HB    -8    17      1
 43101011   0   5   b    2       7          8              1      HB    -4    17      1
 43103011   0   5   b    2       7          8              2      HB   -12    17      1
 43204010   0   6   t    2       8          1              0      HB   -16    16      2
 43203C10   0   6   t    2       8          1              1      HB   -15    16      2
 43103810   0   6   t    2       8          1              2      HB   -14    16      1
 43103C10   0   6   t    2       8          2              0      HB   -15    16      1
 43103410   0   6   t    2       8          2              1      HB   -13    16      1
 43104010   0   6   t    2       8          2              2      HB   -16    16      1
 4320400F   0   6   t    2       8          3              0      HB   -16    15      2
 43203C0F   0   6   t    2       8          3              1      HB   -15    15      2
 4310380F   0   6   t    2       8          3              2      HB   -14    15      1
 43103C0F   0   6   t    2       8          4              0      HB   -15    15      1
 4310340F   0   6   t    2       8          4              1      HB   -13    15      1
 4310400F   0   6   t    2       8          4              2      HB   -16    15      1
 45104410   0   6   t    2       8          5              0      HE   -17    16      1
 45304010   0   6   t    2       8          5              1      HE   -16    16      3
 4510640F   0   6   t    2       8          5              2      HE   -25    15      1
 45104810   0   6   t    2       8          6              0      HE   -18    16      1
 45204810   0   6   t    2       8          6              1      HE   -18    16      2
 4520640F   0   6   t    2       8          6              2      HE   -25    15      2
 4510440F   0   6   t    2       8          7              0      HE   -17    15      1
 4530400F   0   6   t    2       8          7              1      HE   -16    15      3
 4510680F   0   6   t    2       8          7              2      HE   -26    15      1
 4510480F   0   6   t    2       8          8              0      HE   -18    15      1
 4520480F   0   6   t    2       8          8              1      HE   -18    15      2
 4520680F   0   6   t    2       8          8              2      HE   -26    15      2
 43204012   0   6   b    2       9          1              0      HB   -16    18      2
 43203C12   0   6   b    2       9          1              1      HB   -15    18      2
 43103812   0   6   b    2       9          1              2      HB   -14    18      1
 43103C12   0   6   b    2       9          2              0      HB   -15    18      1
 43103412   0   6   b    2       9          2              1      HB   -13    18      1
 43104012   0   6   b    2       9          2              2      HB   -16    18      1
 43204011   0   6   b    2       9          3              0      HB   -16    17      2
